"","date","ReviewSource","brand","n"
"252",2019-09-08,"Playstore","flutterwave",5
"253",2019-09-09,"Playstore","flutterwave",3
"254",2019-09-10,"Playstore","flutterwave",6
"255",2019-09-11,"Playstore","flutterwave",2
"256",2019-09-12,"Playstore","flutterwave",4
"257",2019-09-13,"Playstore","flutterwave",4
"258",2019-09-14,"Playstore","flutterwave",10
"259",2019-09-15,"Playstore","flutterwave",3
"260",2019-09-16,"Playstore","flutterwave",4
"261",2019-09-17,"Playstore","flutterwave",2
"262",2019-09-18,"Playstore","flutterwave",3
"263",2019-09-19,"Playstore","flutterwave",7
"264",2019-09-20,"Playstore","flutterwave",3
"265",2019-09-21,"Playstore","flutterwave",1
"266",2019-09-22,"Playstore","flutterwave",2
"267",2019-09-23,"Playstore","flutterwave",3
"268",2019-09-25,"Playstore","flutterwave",1
"269",2019-09-26,"Playstore","flutterwave",1
"270",2019-09-27,"Playstore","flutterwave",1
"271",2019-10-01,"Playstore","flutterwave",2
"272",2019-10-02,"Playstore","flutterwave",4
"273",2019-10-03,"Playstore","flutterwave",5
"274",2019-10-04,"Playstore","flutterwave",2
"275",2019-10-05,"Playstore","flutterwave",1
"276",2019-10-06,"Playstore","flutterwave",1
"277",2019-10-07,"Playstore","flutterwave",2
"278",2019-10-08,"Playstore","flutterwave",1
"279",2019-10-09,"Playstore","flutterwave",3
"280",2019-10-12,"Playstore","flutterwave",3
"281",2019-10-15,"Playstore","flutterwave",1
"282",2019-10-16,"Playstore","flutterwave",2
"283",2019-10-17,"Playstore","flutterwave",1
"284",2019-10-18,"Playstore","flutterwave",1
"285",2019-10-19,"Playstore","flutterwave",5
"286",2019-10-20,"Playstore","flutterwave",2
"287",2019-10-21,"Playstore","flutterwave",1
"288",2019-10-22,"Playstore","flutterwave",1
"289",2019-10-23,"Playstore","flutterwave",2
"290",2019-10-24,"Playstore","flutterwave",5
"291",2019-10-25,"Playstore","flutterwave",1
"292",2019-10-27,"Playstore","flutterwave",2
"293",2019-10-29,"Playstore","flutterwave",3
"294",2019-10-30,"Playstore","flutterwave",2
"295",2019-10-31,"Playstore","flutterwave",1
"296",2019-11-01,"Playstore","flutterwave",2
